SE_PID,NAME,WIKIDATA,DT_CREATE,TYPE,MS_FB_PARE,MS_FB
VIC249,Evelyn,Q5355387,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic249
VIC250,Geelong,Q5355426,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic250
VIC251,Mornington,Q5355698,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic251
VIC252,Frankston,Q5355416,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic252
VIC253,Carrum,Q16962318,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic253
VIC254,Mordialloc,Q5355693,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic254
VIC255,Keysborough,Q17008969,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic255
VIC256,Dandenong,Q5355304,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic256
VIC257,Cranbourne,Q5355280,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic257
VIC258,Narre Warren South,Q5355758,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic258
VIC259,Narre Warren North,Q5355757,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic259
VIC260,Wendouree,Q17050736,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic260
VIC261,Altona,Q5355034,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic261
VIC262,Williamstown,Q5356136,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic262
VIC263,Footscray,Q5355408,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic263
VIC264,Albert Park,Q5355023,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic264
VIC265,Melbourne,Q5355645,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic265
VIC266,Niddrie,Q16962338,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic266
VIC267,Pascoe Vale,Q5355841,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic267
VIC268,Broadmeadows,Q5355160,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic268
VIC269,Yuroke,Q5356179,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic269
VIC270,Oakleigh,Q5355827,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic270
VIC271,Mount Waverley,Q5355722,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic271
VIC272,Ringwood,Q14935126,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic272
VIC273,Eltham,Q5355375,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic273
VIC274,Warrandyte,Q5356076,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic274
VIC275,Bayswater,Q5355098,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic275
VIC276,Thomastown,Q5356027,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic276
VIC277,Mill Park,Q5355663,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic277
VIC278,Sandringham,Q5355926,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic278
VIC279,Clarinda,Q17002321,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic279
VIC280,Brighton,Q5355150,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic280
VIC281,Prahran,Q5355873,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic281
VIC282,Richmond,Q1073994,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic282
VIC283,St Albans,Q5355970,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic283
VIC284,Sydenham,Q17028255,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic284
VIC285,Essendon,Q5355383,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic285
VIC286,Brunswick,Q5355166,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic286
VIC287,Northcote,Q5355812,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic287
VIC288,Bentleigh,Q5355120,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic288
VIC289,Caulfield,Q5355221,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic289
VIC290,Malvern,Q5355624,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic290
VIC291,Hawthorn,Q5355501,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic291
VIC292,Kew,Q5355563,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic292
VIC293,Burwood,Q5355193,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic293
VIC294,Box Hill,Q5355143,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic294
VIC295,Mulgrave,Q5355729,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic295
VIC296,Rowville,Q17028172,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic296
VIC297,Forest Hill,Q5355410,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic297
VIC298,Ferntree Gully,Q5355393,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic298
VIC299,Ivanhoe,Q5355537,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic299
VIC300,Bulleen,Q5355175,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic300
VIC301,Bundoora,Q5355181,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic301
VIC302,Croydon,Q17017477,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic302
VIC303,Preston,Q5355874,2015/05/05,Legislative Assembly,country:au/state:vic,country:au/state:vic/slaed:vic303
WA216,Moore,Q5355687,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa216
WA218,Central Wheatbelt,Q5355227,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa218
WA219,Roe,Q5355910,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa219
WA221,Kalgoorlie,Q5355545,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa221
WA222,North West Central,Q5355809,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa222
WA224,Pilbara,Q5355854,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa224
WA225,Kimberley,Q5355567,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa225
WA226,Warren-Blackwood,Q5356078,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa226
WA227,Albany,Q5355020,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa227
WA228,Collie-Preston,Q5355260,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa228
WA229,Murray-Wellington,Q5355738,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa229
WA231,Geraldton,Q17005114,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa231
WA232,Vasse,Q5356056,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa232
WA233,Darling Range,Q5355311,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa233
WA235,Swan Hills,Q5355998,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa235
WA236,Dawesville,Q5355317,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa236
WA238,West Swan,Q5356113,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa238
WA239,Kalamunda,Q5355544,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa239
WA240,Butler,Q16255930,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa240
WA241,Wanneroo,Q5356069,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa241
WA242,Bunbury,Q5355177,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa242
WA243,Mandurah,Q5355625,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa243
WA244,Warnbro,Q5356075,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa244
WA245,Baldivis,Q28748002,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa245
WA246,Fremantle,Q5355420,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa246
WA247,Kwinana,Q5355582,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa247
WA248,Cockburn,Q5355251,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa248
WA249,Jandakot,Q5355540,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa249
WA250,Armadale,Q5355043,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa250
WA251,Belmont,Q5355105,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa251
WA252,Midland,Q5355659,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa252
WA253,Rockingham,Q5355908,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa253
WA254,Cottesloe,Q5355278,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa254
WA255,Willagee,Q17028335,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa255
WA256,Bateman,Q5355092,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa256
WA257,Riverton,Q5355902,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa257
WA258,Nedlands,Q5355760,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa258
WA259,South Perth,Q5355957,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa259
WA260,Victoria Park,Q5356059,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa260
WA261,Carine,Q5355212,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa261
WA262,Churchlands,Q5355236,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa262
WA263,Perth,Q5355850,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa263
WA264,Maylands,Q17012250,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa264
WA265,Mount Lawley,Q5355715,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa265
WA266,Scarborough,Q5355928,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa266
WA267,Balcatta,Q5355062,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa267
WA268,Girrawheen,Q5355438,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa268
WA269,Morley,Q5355697,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa269
WA270,Mirrabooka,Q5355668,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa270
WA271,Hillarys,Q5355512,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa271
WA272,Joondalup,Q5355542,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa272
WA273,Burns Beach,Q28748055,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa273
WA274,Kingsley,Q5355571,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa274
WA275,Southern River,Q5355964,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa275
WA276,Thornlie,Q5356029,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa276
WA277,Cannington,Q5355207,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa277
WA278,Forrestfield,Q5355413,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa278
WA279,Bassendean,Q5355091,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa279
WA280,Bicton,Q28748050,2015/12/30,Legislative Assembly,country:au/state:wa,country:au/state:wa/slaed:wa280
