SE_PID,NAME,WIKIDATA,DT_CREATE,TYPE,MS_FB_PARE,MS_FB
QLD255,Murrumba,Q5355745,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld255
QLD256,Nanango,Q5355750,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld256
QLD257,Nicklin,Q5355780,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld257
QLD258,Ninderry,Q30641936,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld258
QLD259,Nudgee,Q5355823,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld259
QLD260,Oodgeroo,Q30641916,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld260
QLD261,Pine Rivers,Q5355856,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld261
QLD262,Pumicestone,Q5355876,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld262
QLD263,Redcliffe,Q5355888,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld263
QLD264,Redlands,Q5355890,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld264
QLD265,Rockhampton,Q5355906,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld265
QLD266,Sandgate,Q5355923,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld266
QLD267,Scenic Rim,Q30641907,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld267
QLD268,South Brisbane,Q5355949,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld268
QLD269,Southern Downs,Q5355962,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld269
QLD270,Southport,Q5355965,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld270
QLD271,Springwood,Q5355969,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld271
QLD272,Stafford,Q5355977,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld272
QLD273,Stretton,Q5355985,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld273
QLD274,Surfers Paradise,Q5355992,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld274
QLD275,Theodore,Q30641906,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld275
QLD276,Thuringowa,Q5356030,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld276
QLD277,Toohey,Q30641919,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld277
QLD278,Toowoomba North,Q17003566,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld278
QLD279,Toowoomba South,Q5356037,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld279
QLD280,Townsville,Q5356042,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld280
QLD281,Traeger,Q30641938,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld281
QLD282,Warrego,Q5356077,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld282
QLD283,Waterford,Q5356085,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld283
QLD284,Whitsunday,Q5356123,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld284
QLD285,Woodridge,Q5356151,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld285
QLD286,Burnett,Q5355186,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld286
QLD287,Noosa,Q5355786,2017/08/09,Legislative Assembly,country:au/state:qld,country:au/state:qld/slaed:qld287
SA18500002,Mitchell,Q5355674,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500002
SA18500003,Morphett,Q5355700,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500003
SA18500004,Mount Gambier,Q5355709,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500004
SA18500005,Napier,Q5355752,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500005
SA18500006,Newland,Q5355773,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500006
SA18500007,Port Adelaide,Q5355862,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500007
SA18500008,Schubert,Q5355929,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500008
SA18500009,Stuart,Q5355986,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500009
SA18500010,Taylor,Q5356021,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500010
SA18500011,Torrens,Q5356039,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500011
SA18500012,Lee,Q5355592,2015/05/11,Legislative Assembly,country:au/state:sa,country:au/state:sa/shaed:sa18500012
