NAME,MS_FB,MS_FB_PARE,WIKIDATA
East Ward,country:au/state:wa/lga:wa360/ward:east,country:au/state:wa/lga:wa360,Q56478918
West Ward,country:au/state:wa/lga:wa319/ward:west,country:au/state:wa/lga:wa319,Q56478919
North Ward,country:au/state:wa/lga:wa416/ward:north,country:au/state:wa/lga:wa416,Q56478920
West Ward,country:au/state:wa/lga:wa311/ward:west,country:au/state:wa/lga:wa311,Q56478921
Midland-guildford Ward,country:au/state:wa/lga:wa313/ward:midland-guildford,country:au/state:wa/lga:wa313,Q56478922
Comet Bay Ward,country:au/state:wa/lga:wa308/ward:comet-bay,country:au/state:wa/lga:wa308,Q56478923
Como Ward,country:au/state:wa/lga:wa318/ward:como,country:au/state:wa/lga:wa318,Q56478924
Swan Valley-gidg'up Ward,country:au/state:wa/lga:wa313/ward:swan-valley-gidg'up,country:au/state:wa/lga:wa313,Q56478925
North Coast Ward,country:au/state:wa/lga:wa309/ward:north-coast,country:au/state:wa/lga:wa309,Q56478926
Beeloo Ward,country:au/state:wa/lga:wa317/ward:beeloo,country:au/state:wa/lga:wa317,Q56478927
Hills Ward,country:au/state:wa/lga:wa321/ward:hills,country:au/state:wa/lga:wa321,Q56478928
Bateman Kardinya Murdoch Ward,country:au/state:wa/lga:wa312/ward:bateman-kardinya-murdoch,country:au/state:wa/lga:wa312,Q56478929
Ranford Ward,country:au/state:wa/lga:wa321/ward:ranford,country:au/state:wa/lga:wa321,Q56478930
Whiteman Ward,country:au/state:wa/lga:wa313/ward:whiteman,country:au/state:wa/lga:wa313,Q56478931
Southern Ward,country:au/state:wa/lga:wa315/ward:southern,country:au/state:wa/lga:wa315,Q56478932
Central Ward,country:au/state:wa/lga:wa312/ward:central,country:au/state:wa/lga:wa312,Q56478933
Pearce Ward,country:au/state:wa/lga:wa313/ward:pearce,country:au/state:wa/lga:wa313,Q56478934
Palmyra Melville Willagee Ward,country:au/state:wa/lga:wa312/ward:palmyra-melville-willagee,country:au/state:wa/lga:wa312,Q56478935
Bicton Attadale Alfred Cove Ward,country:au/state:wa/lga:wa312/ward:bicton-attadale-alfred-cove,country:au/state:wa/lga:wa312,Q56478936
North Ward,country:au/state:wa/lga:wa314/ward:north,country:au/state:wa/lga:wa314,Q56478937
North West Ward,country:au/state:wa/lga:wa315/ward:north-west,country:au/state:wa/lga:wa315,Q56478938
North Ward,country:au/state:wa/lga:wa315/ward:north,country:au/state:wa/lga:wa315,Q56478939
Central Ward,country:au/state:wa/lga:wa319/ward:central,country:au/state:wa/lga:wa319,Q56478940
The Gabba Ward,country:au/state:qld/lga:qld21/ward:the-gabba,country:au/state:qld/lga:qld21,Q28943009
Tennyson Ward,country:au/state:qld/lga:qld21/ward:tennyson,country:au/state:qld/lga:qld21,Q28943046
Runcorn Ward,country:au/state:qld/lga:qld21/ward:runcorn,country:au/state:qld/lga:qld21,Q28943081
Pullenvale Ward,country:au/state:qld/lga:qld21/ward:pullenvale,country:au/state:qld/lga:qld21,Q28943080
Paddington Ward,country:au/state:qld/lga:qld21/ward:paddington,country:au/state:qld/lga:qld21,Q28943079
Northgate Ward,country:au/state:qld/lga:qld21/ward:northgate,country:au/state:qld/lga:qld21,Q28943078
Morningside Ward,country:au/state:qld/lga:qld21/ward:morningside,country:au/state:qld/lga:qld21,Q28943077
Division 7,country:au/state:qld/lga:qld295/division:7,country:au/state:qld/lga:qld295,Q56752513
Division 6,country:au/state:qld/lga:qld295/division:6,country:au/state:qld/lga:qld295,Q56752512
Division 5,country:au/state:qld/lga:qld295/division:5,country:au/state:qld/lga:qld295,Q56752511
Division 4,country:au/state:qld/lga:qld295/division:4,country:au/state:qld/lga:qld295,Q56752510
Division 3,country:au/state:qld/lga:qld295/division:3,country:au/state:qld/lga:qld295,Q56752509
Division 2,country:au/state:qld/lga:qld295/division:2,country:au/state:qld/lga:qld295,Q56752508
Division 10,country:au/state:qld/lga:qld295/division:10,country:au/state:qld/lga:qld295,Q56752507
Division 1,country:au/state:qld/lga:qld295/division:1,country:au/state:qld/lga:qld295,Q56752505
Division 9,country:au/state:qld/lga:qld63/division:9,country:au/state:qld/lga:qld63,Q56751609
Division 8,country:au/state:qld/lga:qld63/division:8,country:au/state:qld/lga:qld63,Q56751608
Division 7,country:au/state:qld/lga:qld63/division:7,country:au/state:qld/lga:qld63,Q56751607
Division 6,country:au/state:qld/lga:qld63/division:6,country:au/state:qld/lga:qld63,Q56751606
Division 5,country:au/state:qld/lga:qld63/division:5,country:au/state:qld/lga:qld63,Q56751605
Division 4,country:au/state:qld/lga:qld63/division:4,country:au/state:qld/lga:qld63,Q56751604
Division 3,country:au/state:qld/lga:qld63/division:3,country:au/state:qld/lga:qld63,Q56751603
Division 2,country:au/state:qld/lga:qld63/division:2,country:au/state:qld/lga:qld63,Q56751602
Electoral District of Noosa,country:au/state:qld/lga:qld319/lga-ed:electoral-district-of-noosa,country:au/state:qld/lga:qld319,Q56751610
Division 9,country:au/state:qld/lga:qld295/division:9,country:au/state:qld/lga:qld295,Q56752515
Division 8,country:au/state:qld/lga:qld295/division:8,country:au/state:qld/lga:qld295,Q56752514
Moorooka Ward,country:au/state:qld/lga:qld21/ward:moorooka,country:au/state:qld/lga:qld21,Q28943076
McDowall Ward,country:au/state:qld/lga:qld21/ward:mcdowall,country:au/state:qld/lga:qld21,Q28943074
Marchant Ward,country:au/state:qld/lga:qld21/ward:marchant,country:au/state:qld/lga:qld21,Q28943073
MacGregor Ward,country:au/state:qld/lga:qld21/ward:macgregor,country:au/state:qld/lga:qld21,Q28943075
Jamboree Ward,country:au/state:qld/lga:qld21/ward:jamboree,country:au/state:qld/lga:qld21,Q28943072
Holland Park Ward,country:au/state:qld/lga:qld21/ward:holland-park,country:au/state:qld/lga:qld21,Q28943071
Hamilton Ward,country:au/state:qld/lga:qld21/ward:hamilton,country:au/state:qld/lga:qld21,Q28943097
Forest Lake Ward,country:au/state:qld/lga:qld21/ward:forest-lake,country:au/state:qld/lga:qld21,Q28943070
Enoggera Ward,country:au/state:qld/lga:qld21/ward:enoggera,country:au/state:qld/lga:qld21,Q28943049
Doboy Ward,country:au/state:qld/lga:qld21/ward:doboy,country:au/state:qld/lga:qld21,Q28428154
Deagon Ward,country:au/state:qld/lga:qld21/ward:deagon,country:au/state:qld/lga:qld21,Q28943011
Coorparoo Ward,country:au/state:qld/lga:qld21/ward:coorparoo,country:au/state:qld/lga:qld21,Q28943008
Chandler Ward,country:au/state:qld/lga:qld21/ward:chandler,country:au/state:qld/lga:qld21,Q27962544
Central Ward,country:au/state:qld/lga:qld21/ward:central,country:au/state:qld/lga:qld21,Q28183849
Calamvale Ward,country:au/state:qld/lga:qld21/ward:calamvale,country:au/state:qld/lga:qld21,Q28943006
Bracken Ridge Ward,country:au/state:qld/lga:qld21/ward:bracken-ridge,country:au/state:qld/lga:qld21,Q28428153
Division 14,country:au/state:qld/lga:qld63/division:14,country:au/state:qld/lga:qld63,Q56751601
Division 13,country:au/state:qld/lga:qld63/division:13,country:au/state:qld/lga:qld63,Q56751600
Division 12,country:au/state:qld/lga:qld63/division:12,country:au/state:qld/lga:qld63,Q56751599
Division 11,country:au/state:qld/lga:qld63/division:11,country:au/state:qld/lga:qld63,Q56751598
Division 10,country:au/state:qld/lga:qld63/division:10,country:au/state:qld/lga:qld63,Q56751597
Division 1,country:au/state:qld/lga:qld63/division:1,country:au/state:qld/lga:qld63,Q56751596
Wynnum-Manly Ward,country:au/state:qld/lga:qld21/ward:wynnum-manly,country:au/state:qld/lga:qld21,Q28943084
Walter Taylor Ward,country:au/state:qld/lga:qld21/ward:walter-taylor,country:au/state:qld/lga:qld21,Q28943083
The Gap Ward,country:au/state:qld/lga:qld21/ward:the-gap,country:au/state:qld/lga:qld21,Q28943082
